Chr	length	repeat_length	gRNA_count
chr1	248387328	153847292	26561560
chr2	242696752	139987028	24356686
chr3	201105948	120505006	19443163
chr4	193574945	118885050	17330513
chr5	182045439	108814914	17517465
chr6	172126628	101358505	16666573
chr7	160567428	95632345	16436701
chr8	146259331	86787778	14592528
chr9	150617247	100746069	17488903
chr10	134758134	77908747	14386695
chr11	135127769	80289109	14487385
chr12	133324548	80918425	13728506
chr13	113566686	70352098	10356639
chr14	101161492	62757795	10582890
chr15	99753195	63119887	11137046
chr16	96330374	61657195	11244631
chr17	84276897	49485890	10672680
chr18	80542538	47547211	7735334
chr19	61707364	40848294	8525886
chr20	66210255	40162544	7818884
chr21	45090682	28114995	4872593
chr22	51324926	34050581	6645005
chrX	154259566	105197736	14935557
chrY	62460029	54812986	5866093
chrM	16569	418	2191
